"CountryCode","GenderCode","LifeExpectancy","LowestPricEstTobacco","MediumPriceEstTobacco","Mortality","PremiumPricEstTobacco","TobaccoPrevalence","TotalTax"
"COL","FMLE",4,0,0,20,0,8,0
"COL","MLE",4,0,0,20,0,8,0
"COM","BTSX",4,1,7,20,1,8,7
"COM","FMLE",4,0,0,20,0,8,0
"COM","MLE",4,0,0,20,0,8,0
"CPV","BTSX",4,1,7,20,1,8,7
"CPV","FMLE",4,0,0,20,0,8,0
"CPV","MLE",4,0,0,20,0,8,0
"CRI","BTSX",4,1,7,20,1,8,7
"CRI","FMLE",4,0,0,20,0,8,0
"CRI","MLE",4,0,0,20,0,8,0
"CUB","BTSX",4,0,5,20,0,8,5
"CUB","FMLE",4,0,0,20,0,8,0
"CUB","MLE",4,0,0,20,0,8,0
"CYP","BTSX",4,1,7,20,1,8,7
"CYP","FMLE",4,0,0,20,0,8,0
"CYP","MLE",4,0,0,20,0,8,0
"CZE","BTSX",4,1,7,20,1,8,7
"CZE","FMLE",4,0,0,20,0,8,0
"CZE","MLE",4,0,0,20,0,8,0
"DEU","BTSX",4,1,7,20,1,8,7
"DEU","FMLE",4,0,0,20,0,8,0
"DEU","MLE",4,0,0,20,0,8,0
"DJI","BTSX",4,0,5,20,0,0,5
"DJI","FMLE",4,0,0,20,0,0,0
"DJI","MLE",4,0,0,20,0,0,0
"DMA","BTSX",0,1,7,0,1,0,7
"DNK","BTSX",4,1,7,20,1,8,7
"DNK","FMLE",4,0,0,20,0,8,0
"DNK","MLE",4,0,0,20,0,8,0
"DOM","BTSX",4,1,7,20,1,8,7
"DOM","FMLE",4,0,0,20,0,8,0
"DOM","MLE",4,0,0,20,0,8,0
"DZA","BTSX",4,1,7,20,1,8,7
"DZA","FMLE",4,0,0,20,0,8,0
"DZA","MLE",4,0,0,20,0,8,0
"ECU","BTSX",4,1,7,20,1,8,7
"ECU","FMLE",4,0,0,20,0,8,0
"ECU","MLE",4,0,0,20,0,8,0
"EGY","BTSX",4,1,7,20,1,8,7
"EGY","FMLE",4,0,0,20,0,8,0
"EGY","MLE",4,0,0,20,0,8,0
"ERI","BTSX",4,0,6,20,0,8,6
"ERI","FMLE",4,0,0,20,0,8,0
"ERI","MLE",4,0,0,20,0,8,0
"ESP","BTSX",4,1,7,20,1,8,7
"ESP","FMLE",4,0,0,20,0,8,0
"ESP","MLE",4,0,0,20,0,8,0
"EST","BTSX",4,1,7,20,1,8,7
"EST","FMLE",4,0,0,20,0,8,0
"EST","MLE",4,0,0,20,0,8,0
"ETH","BTSX",4,1,7,20,1,8,7
"ETH","FMLE",4,0,0,20,0,8,0
"ETH","MLE",4,0,0,20,0,8,0
"FIN","BTSX",4,1,7,20,1,8,7
"FIN","FMLE",4,0,0,20,0,8,0
"FIN","MLE",4,0,0,20,0,8,0
"FJI","BTSX",4,1,6,20,1,8,6
"FJI","FMLE",4,0,0,20,0,8,0
"FJI","MLE",4,0,0,20,0,8,0
"FRA","BTSX",4,1,7,20,1,8,7
"FRA","FMLE",4,0,0,20,0,8,0
"FRA","MLE",4,0,0,20,0,8,0
"FSM","BTSX",4,1,7,20,1,0,7
"FSM","FMLE",4,0,0,20,0,0,0
"FSM","MLE",4,0,0,20,0,0,0
"GAB","BTSX",4,1,7,20,1,0,7
"GAB","FMLE",4,0,0,20,0,0,0
"GAB","MLE",4,0,0,20,0,0,0
"GBR","BTSX",4,1,7,20,1,8,7
"GBR","FMLE",4,0,0,20,0,8,0
"GBR","MLE",4,0,0,20,0,8,0
"GEO","BTSX",4,1,7,20,1,8,7
"GEO","FMLE",4,0,0,20,0,8,0
"GEO","MLE",4,0,0,20,0,8,0
"GHA","BTSX",4,1,7,20,1,8,7
"GHA","FMLE",4,0,0,20,0,8,0
"GHA","MLE",4,0,0,20,0,8,0
"GIN","BTSX",4,1,5,20,1,0,5
"GIN","FMLE",4,0,0,20,0,0,0
"GIN","MLE",4,0,0,20,0,0,0
"GMB","BTSX",4,1,7,20,1,8,7
"GMB","FMLE",4,0,0,20,0,8,0
"GMB","MLE",4,0,0,20,0,8,0
"GNB","BTSX",4,1,6,20,0,8,6
"GNB","FMLE",4,0,0,20,0,8,0
"GNB","MLE",4,0,0,20,0,8,0
"GNQ","BTSX",4,0,7,20,1,0,7
"GNQ","FMLE",4,0,0,20,0,0,0
"GNQ","MLE",4,0,0,20,0,0,0
"GRC","BTSX",4,1,7,20,1,8,7
"GRC","FMLE",4,0,0,20,0,8,0
"GRC","MLE",4,0,0,20,0,8,0
"GRD","BTSX",4,0,5,20,0,0,5
"GRD","FMLE",4,0,0,20,0,0,0
"GRD","MLE",4,0,0,20,0,0,0
"GTM","BTSX",4,1,7,20,1,8,7
"GTM","FMLE",4,0,0,20,0,8,0
"GTM","MLE",4,0,0,20,0,8,0
"GUY","BTSX",4,1,7,20,1,8,7
"GUY","FMLE",4,0,0,20,0,8,0
"GUY","MLE",4,0,0,20,0,8,0
"HND","BTSX",4,1,7,20,1,0,7
"HND","FMLE",4,0,0,20,0,0,0
"HND","MLE",4,0,0,20,0,0,0
"HRV","BTSX",4,1,7,20,1,8,7
"HRV","FMLE",4,0,0,20,0,8,0
"HRV","MLE",4,0,0,20,0,8,0
