"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"BDI2000B","BDI",2000,"BTSX",24,43.78,36.8,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2000F","BDI",2000,"FMLE",16.4,45.85,35.47,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2000M","BDI",2000,"MLE",31.5,41.79,38.51,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2005B","BDI",2005,"BTSX",19.8,NA,31.61,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2005F","BDI",2005,"FMLE",12.7,NA,30.55,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2005M","BDI",2005,"MLE",26.9,NA,33.06,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2010B","BDI",2010,"BTSX",16.6,58.6,27.92,NA,NA,"800","0.56",NA,NA,NA,NA
"BDI2010F","BDI",2010,"FMLE",9.9,60.32,26.42,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2010M","BDI",2010,"MLE",23.3,56.86,29.78,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2015B","BDI",2015,"BTSX",13.9,62.05,25.82,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2015F","BDI",2015,"FMLE",7.8,64.26,24.26,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2015M","BDI",2015,"MLE",20,59.84,27.61,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2018B","BDI",2018,"BTSX",12.2,NA,25.15,NA,NA,"1600","0.43",NA,NA,NA,NA
"BDI2018F","BDI",2018,"FMLE",6.7,NA,23.35,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2018M","BDI",2018,"MLE",18.4,NA,27.13,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2019B","BDI",2019,"BTSX",12.2,63.84,24.97,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2019F","BDI",2019,"FMLE",6.4,66.14,23.22,NA,NA,NA,NA,NA,NA,NA,NA
"BDI2019M","BDI",2019,"MLE",18,61.55,26.89,NA,NA,NA,NA,NA,NA,NA,NA
