"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"BFA2007M","BFA",2007,"MLE",NA,NA,27.55,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2008B","BFA",2008,"BTSX",NA,NA,25.07,NA,NA,"500","0.31",NA,NA,NA,NA
"BFA2008F","BFA",2008,"FMLE",NA,NA,23.34,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2008M","BFA",2008,"MLE",NA,NA,27.55,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2009B","BFA",2009,"BTSX",NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2009F","BFA",2009,"FMLE",NA,NA,23.2,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2009M","BFA",2009,"MLE",NA,NA,27.8,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2011B","BFA",2011,"BTSX",NA,NA,24.94,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2011F","BFA",2011,"FMLE",NA,NA,22.72,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2011M","BFA",2011,"MLE",NA,NA,28.02,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2012B","BFA",2012,"BTSX",NA,NA,25.14,NA,NA,"500","0.32",NA,NA,NA,NA
"BFA2012F","BFA",2012,"FMLE",NA,NA,22.78,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2012M","BFA",2012,"MLE",NA,NA,28.35,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2013B","BFA",2013,"BTSX",NA,NA,25.14,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2013F","BFA",2013,"FMLE",NA,NA,22.82,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2013M","BFA",2013,"MLE",NA,NA,28.31,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2014B","BFA",2014,"BTSX",NA,NA,24.94,NA,NA,"500","0.32",NA,NA,NA,NA
"BFA2014F","BFA",2014,"FMLE",NA,NA,22.74,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2014M","BFA",2014,"MLE",NA,NA,27.95,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2016B","BFA",2016,"BTSX",NA,NA,24.66,NA,NA,"650","0.35",NA,NA,NA,NA
"BFA2016F","BFA",2016,"FMLE",NA,NA,22.61,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2016M","BFA",2016,"MLE",NA,NA,27.45,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2017B","BFA",2017,"BTSX",NA,NA,24.39,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2017F","BFA",2017,"FMLE",NA,NA,22.41,NA,NA,NA,NA,NA,NA,NA,NA
"BFA2017M","BFA",2017,"MLE",NA,NA,27.07,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2001B","BWA",2001,"BTSX",NA,NA,38.24,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2001F","BWA",2001,"FMLE",NA,NA,27.89,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2001M","BWA",2001,"MLE",NA,NA,48.26,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2002B","BWA",2002,"BTSX",NA,NA,37.77,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2002F","BWA",2002,"FMLE",NA,NA,28.03,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2002M","BWA",2002,"MLE",NA,NA,47.43,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2003B","BWA",2003,"BTSX",NA,NA,37.41,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2003F","BWA",2003,"FMLE",NA,NA,28.36,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2003M","BWA",2003,"MLE",NA,NA,46.6,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2004B","BWA",2004,"BTSX",NA,NA,37.17,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2004F","BWA",2004,"FMLE",NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2004M","BWA",2004,"MLE",NA,NA,46.03,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2006B","BWA",2006,"BTSX",NA,NA,35.3,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2006F","BWA",2006,"FMLE",NA,NA,27.37,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2006M","BWA",2006,"MLE",NA,NA,43.68,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2007B","BWA",2007,"BTSX",NA,NA,33.73,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2007F","BWA",2007,"FMLE",NA,NA,26.89,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2007M","BWA",2007,"MLE",NA,NA,41.12,NA,NA,NA,NA,NA,NA,NA,NA
"BWA2008B","BWA",2008,"BTSX",NA,NA,33.28,NA,NA,"17.5","0.43",NA,NA,NA,NA
"BWA2008F","BWA",2008,"FMLE",NA,NA,27.08,NA,NA,NA,NA,NA,NA,NA,NA
